geneID	x	y	MIDCounts
0610005C13Rik	11864	11748	3
0610005C13Rik	6632	9074	1
0610005C13Rik	10339	15898	2
0610005C13Rik	4290	10831	2
0610005C13Rik	5714	9053	2
0610005C13Rik	6674	17763	1
0610005C13Rik	6341	16060	1
0610005C13Rik	7841	17476	1
0610005C13Rik	12608	12343	1
0610005C13Rik	8257	8198	2
0610005C13Rik	12706	12218	1
0610005C13Rik	8651	8935	1
0610005C13Rik	6148	10905	1
0610005C13Rik	8603	8393	3
0610005C13Rik	11270	11827	1
0610005C13Rik	12362	11039	4
0610005C13Rik	7228	12814	2
0610005C13Rik	10461	14898	1
0610005C13Rik	7030	16004	1
0610005C13Rik	7256	17723	1
0610005C13Rik	7919	10387	1
0610005C13Rik	5540	15129	1
0610005C13Rik	6325	10251	1
0610005C13Rik	8560	16496	1
0610005C13Rik	6844	15062	3
0610005C13Rik	8579	14806	1
0610005C13Rik	9722	18373	3
0610005C13Rik	13517	11461	2
0610005C13Rik	5107	11910	1
0610005C13Rik	8924	14637	1
0610005C13Rik	10170	10108	1
0610005C13Rik	6126	12943	1
0610005C13Rik	13420	10424	4
0610005C13Rik	11138	11532	1
0610005C13Rik	9657	11885	1
0610005C13Rik	7176	8155	1
0610005C13Rik	10458	12187	1
0610005C13Rik	8698	13921	3
0610005C13Rik	7801	14061	4
0610005C13Rik	10339	14494	1
0610005C13Rik	6228	13690	1
0610005C13Rik	6317	12565	2
0610005C13Rik	12272	11125	1
0610005C13Rik	5880	10145	1
0610005C13Rik	6528	17255	1
0610005C13Rik	7653	18540	2
0610005C13Rik	12834	14212	1
0610005C13Rik	12591	13052	1
0610005C13Rik	8979	16729	2
0610005C13Rik	8663	15918	1
0610005C13Rik	11870	10215	1
0610005C13Rik	12529	9220	1
0610005C13Rik	6496	15917	1
0610005C13Rik	13423	12781	3
0610005C13Rik	8674	9925	1
0610005C13Rik	12526	10378	1
0610005C13Rik	7745	13843	1
0610005C13Rik	7087	18230	1
0610005C13Rik	10258	12319	1
0610005C13Rik	11303	14004	1
0610005C13Rik	7313	18029	4
0610005C13Rik	11822	10020	2
0610005C13Rik	10346	7945	3
0610005C13Rik	7386	9485	1
0610005C13Rik	9340	16711	1
0610005C13Rik	7250	8116	1
0610005C13Rik	6161	8415	1
0610005C13Rik	6981	14448	1
0610005C13Rik	12195	10889	1
0610005C13Rik	8219	17557	3
0610006L08Rik	5559	11520	2
0610006L08Rik	12265	14096	1
0610006L08Rik	11626	13525	1
0610006L08Rik	11725	14705	1
0610009B22Rik	10700	9357	1
0610009B22Rik	10698	7665	1
0610009B22Rik	6666	12207	1
0610009B22Rik	6496	17619	1
0610009B22Rik	10922	15805	1
0610009B22Rik	9077	13364	1
0610009B22Rik	7919	9891	2
0610009B22Rik	6278	16463	3
0610009B22Rik	6083	13426	1
0610009B22Rik	9622	8592	4
0610009B22Rik	10263	15812	2
0610009B22Rik	8617	9602	1
0610009B22Rik	5211	13206	1
0610009B22Rik	7935	7947	2
0610009B22Rik	10085	7396	1
0610009B22Rik	11439	14323	1
