geneID	x	y	MIDCounts
0610005C13Rik	732	10	1
0610009B22Rik	154	120	1
0610009B22Rik	566	710	1
0610009B22Rik	4	600	1
0610009B22Rik	503	906	1
0610009B22Rik	276	898	1
0610009B22Rik	657	376	2
0610009B22Rik	83	1084	1
0610009B22Rik	732	246	1
0610009B22Rik	978	128	1
0610009B22Rik	700	245	1
0610009B22Rik	445	716	2
0610009B22Rik	287	531	2
0610009B22Rik	197	8	4
0610009B22Rik	232	354	3
0610009B22Rik	416	597	1
0610009B22Rik	293	199	3
0610009B22Rik	403	779	1
0610009B22Rik	272	520	3
0610009B22Rik	287	235	1
0610009B22Rik	241	213	1
0610009B22Rik	553	686	2
0610009B22Rik	736	536	1
0610009B22Rik	1031	106	2
0610009B22Rik	131	955	2
0610009B22Rik	699	601	1
0610009B22Rik	217	624	3
0610009B22Rik	1006	911	1
0610009B22Rik	595	862	1
0610009B22Rik	716	1137	2
0610009B22Rik	757	431	2
0610009B22Rik	242	574	3
0610009B22Rik	543	462	2
0610009B22Rik	56	926	2
0610009B22Rik	463	673	1
0610009B22Rik	118	1196	1
0610009B22Rik	305	693	1
0610009B22Rik	704	670	1
0610009B22Rik	297	675	1
0610009B22Rik	1185	616	1
0610009B22Rik	500	1020	1
0610009B22Rik	851	794	1
0610009B22Rik	883	355	3
0610009B22Rik	664	783	1
0610009B22Rik	550	1073	1
0610009B22Rik	58	1103	2
0610009B22Rik	744	61	1
0610009B22Rik	624	100	1
0610009B22Rik	942	235	1
0610009B22Rik	805	699	2
0610009B22Rik	961	264	1
0610009B22Rik	179	1191	2
0610009B22Rik	772	444	2
0610009B22Rik	973	123	1
0610009B22Rik	283	28	1
0610009B22Rik	263	140	3
0610009B22Rik	696	235	1
0610009B22Rik	341	258	4
0610009B22Rik	298	916	2
0610009B22Rik	7	715	2
0610009B22Rik	611	543	2
0610009B22Rik	741	690	1
0610009B22Rik	562	1047	2
0610009B22Rik	308	582	3
0610009B22Rik	376	434	3
0610009B22Rik	580	183	4
0610009B22Rik	69	767	2
0610009B22Rik	285	581	4
0610009B22Rik	352	713	1
0610009B22Rik	156	1063	2
0610009B22Rik	684	212	2
0610009B22Rik	834	338	2
0610009B22Rik	83	1027	1
0610009B22Rik	197	876	4
0610009B22Rik	608	507	2
0610009B22Rik	440	1119	1
0610009B22Rik	630	213	3
0610009B22Rik	498	1041	3
0610009B22Rik	476	1013	2
0610009B22Rik	955	382	3
0610009B22Rik	255	668	2
0610009O20Rik	758	152	1
0610009O20Rik	752	497	1
0610009O20Rik	819	206	1
0610009O20Rik	922	783	2
0610009O20Rik	203	977	1
0610009O20Rik	632	1104	2
0610009O20Rik	869	288	2
0610009O20Rik	362	258	1
0610009O20Rik	601	520	1
0610009O20Rik	294	829	1
0610009O20Rik	489	39	1
0610009O20Rik	487	1104	2
0610009O20Rik	218	1181	1
0610009O20Rik	465	999	1
0610009O20Rik	140	1127	2
0610009O20Rik	198	562	1
0610009O20Rik	1118	701	1
0610009O20Rik	54	667	1
0610009O20Rik	393	1006	2
0610009O20Rik	940	554	2
0610009O20Rik	982	632	1
0610009O20Rik	118	797	1
0610009O20Rik	228	802	1
0610009O20Rik	1106	540	1
0610009O20Rik	940	555	2
0610009O20Rik	487	1144	2
0610009O20Rik	581	152	2
0610009O20Rik	807	191	3
0610009O20Rik	764	530	2
0610009O20Rik	563	233	3
0610009O20Rik	450	1129	3
0610009O20Rik	47	1058	1
0610009O20Rik	861	49	1
0610009O20Rik	618	1154	2
0610009O20Rik	16	615	1
0610010F05Rik	470	826	1
0610010F05Rik	128	592	1
0610010F05Rik	649	186	2
0610010F05Rik	708	245	2
0610010F05Rik	546	351	1
0610010F05Rik	362	1004	4
0610010F05Rik	115	524	2
0610010F05Rik	892	338	2
0610010F05Rik	440	708	3
0610010F05Rik	71	1060	2
0610010F05Rik	919	825	1
0610010F05Rik	226	759	2
0610010F05Rik	89	914	2
0610010F05Rik	911	105	1
0610010F05Rik	164	695	3
0610010F05Rik	873	81	1
0610010F05Rik	103	472	2
0610010F05Rik	439	202	1
0610010F05Rik	281	114	1
0610010F05Rik	455	1041	1
0610010F05Rik	430	758	1
0610010F05Rik	763	456	2
0610010F05Rik	855	318	4
0610010F05Rik	984	173	2
0610010F05Rik	517	1124	2
0610010F05Rik	506	777	1
0610010F05Rik	473	954	1
0610010F05Rik	642	122	1
0610010F05Rik	101	1014	2
0610010F05Rik	928	644	1
0610010F05Rik	251	519	3
0610010F05Rik	809	550	2
0610010F05Rik	642	17	4
0610010F05Rik	495	238	1
0610010F05Rik	574	87	3
0610010F05Rik	134	1106	4
